Produit;Categories_OFF;Prediction_Categorie
chicoree soluble nature;Boissons;Boissons
ricore;Boissons;Boissons
baked beans;Fruits & Légumes;Fruits & Légumes
concentre de tomates aicha;Fruits & Légumes;Fruits & Légumes
delicia double concentre de tomates;Fruits & Légumes;Fruits & Légumes
tomates cerises allongees;Fruits & Légumes;Fruits & Légumes
double concentre de tomates;Fruits & Légumes;Fruits & Légumes
ratatouille cuisinee a la provencale cassegrain 380g;Fruits & Légumes;Fruits & Légumes
aicha tomato paste;Fruits & Légumes;Fruits & Légumes
double concentre de tomate;Fruits & Légumes;Fruits & Légumes
chopped tomatoes;Fruits & Légumes;Fruits & Légumes
raw kimchi;Fruits & Légumes;Fruits & Légumes
freshona tomato passata;Fruits & Légumes;Fruits & Légumes
passata di pomodoro;Fruits & Légumes;Fruits & Légumes
crema de cacahuete;Fruits & Légumes;Fruits & Légumes
italian tomato puree double concentrate;Fruits & Légumes;Fruits & Légumes
italian chopped tomatoes;Fruits & Légumes;Fruits & Légumes
carottes rapees;Fruits & Légumes;Fruits & Légumes
chopped tomatoes;Fruits & Légumes;Fruits & Légumes
italian tomato puree;Fruits & Légumes;Fruits & Légumes
double concentre de tomates;Fruits & Légumes;Fruits & Légumes
aubergines cuisinees a la provencale;Fruits & Légumes;Fruits & Légumes
excellence noir prodigieux 90% cacao;Épicerie sucrée;Épicerie sucrée
excellence 70% cocoa intense dark;Épicerie sucrée;Épicerie sucrée
tonik;Fruits & Légumes;Fruits & Légumes
excellence 85% cacao rich dark;Épicerie sucrée;Épicerie sucrée
dark chocolate 85% cocoa;Épicerie sucrée;Épicerie sucrée
organic 70% dark chocolate bar;Épicerie sucrée;Épicerie sucrée
excellence noir intense 70% cacao;Ferment;Épicerie sucrée
dark chocolate;Épicerie sucrée;Épicerie sucrée
excellence noir puissant 85% cacao;Épicerie sucrée;Épicerie sucrée
extra dark chocolate 74% cacao;Épicerie sucrée;Épicerie sucrée
1848 chocolat en poudre;Boissons;Fruits & Légumes
dark chocolate 70%;Épicerie sucrée;Épicerie sucrée
bitter extra kraftig;Épicerie sucrée;Épicerie sucrée
nestle dessert;Épicerie sucrée;Épicerie sucrée
chocolat au lait;Épicerie sucrée;Épicerie sucrée
bio chocolat noir cacao 70%;Épicerie sucrée;Épicerie sucrée
doux 70% noir subtil;Épicerie sucrée;Épicerie sucrée
nesquik;Boissons;Fruits & Légumes
chocolat noir 92% cacao;Épicerie sucrée;Épicerie sucrée
filets de maquereau;Poisson & Fruits de mer;Poisson & Fruits de mer
sardines huile d'olive vierge extra;Poisson & Fruits de mer;Poisson & Fruits de mer
atun;Poisson & Fruits de mer;Poisson & Fruits de mer
joly thon entier;Poisson & Fruits de mer;Poisson & Fruits de mer
atun c / tomate isabel;Poisson & Fruits de mer;Poisson & Fruits de mer
miettes de maquereaux;Poisson & Fruits de mer;Poisson & Fruits de mer
thon joly;Poisson & Fruits de mer;Poisson & Fruits de mer
plain sardines;Poisson & Fruits de mer;Poisson & Fruits de mer
tam thon entier a l'huile;Poisson & Fruits de mer;Poisson & Fruits de mer
filets de maquereaux au vin blanc;Poisson & Fruits de mer;Poisson & Fruits de mer
filet de maquereaux au naturel;Poisson & Fruits de mer;Poisson & Fruits de mer
thon entier au naturel albacore;Poisson & Fruits de mer;Poisson & Fruits de mer
filets de maquereaux a la moutarde;Poisson & Fruits de mer;Poisson & Fruits de mer
filets de maquereaux grilles natures;Poisson & Fruits de mer;Poisson & Fruits de mer
atun claro en aceite de oliva;Poisson & Fruits de mer;Poisson & Fruits de mer
cabillaud sauce citron riz aux petits legumes;Poisson & Fruits de mer;Poisson & Fruits de mer
omar;Boissons;Fruits & Légumes
cod fish fingers;Poisson & Fruits de mer;Poisson & Fruits de mer
le moelleux;Poisson & Fruits de mer;Poisson & Fruits de mer
prince gout chocolat;Épicerie sucrée;Épicerie sucrée
tonik;Fruits & Légumes;Fruits & Légumes
sesame;Épicerie sucrée;Épicerie sucrée
zero sin azucares fibra;Épicerie sucrée;Épicerie sucrée
henrys;Épicerie sucrée;Épicerie sucrée
king cookies;Épicerie sucrée;Épicerie sucrée
sable coco henry s 42g;Épicerie sucrée;Épicerie sucrée
fourres chocolat noir;Épicerie sucrée;Épicerie sucrée
henrys;Épicerie sucrée;Épicerie sucrée
momo black;Épicerie sucrée;Épicerie sucrée
biscuits croquants au coeur onctueux de nutella;Épicerie sucrée;Épicerie sucrée
eyoo cover;Épicerie sucrée;Épicerie sucrée
pomme   noisette;Épicerie sucrée;Épicerie sucrée
2 bars milk and hazelnuts;Épicerie sucrée;Épicerie sucrée
figue & son;Épicerie sucrée;Épicerie sucrée
petit beurre;Épicerie sucrée;Épicerie sucrée
king cookies choco;Épicerie sucrée;Épicerie sucrée
granola;Épicerie sucrée;Épicerie sucrée
henry's sable coco biscuit 85g;Épicerie sucrée;Épicerie sucrée
biscuit raisins;Épicerie sucrée;Épicerie sucrée
confiture de fraise;Fruits & Légumes;Fruits & Légumes
ain soltane;Boissons;Boissons
fruit & nut mix;Fruits & Légumes;Fruits & Légumes
strawberry jam;Fruits & Légumes;Fruits & Légumes
delicia - confiture d'abricot;Fruits & Légumes;Fruits & Légumes
pom'potes compotes gourdes pomme nature 1x90g;Fruits & Légumes;Fruits & Légumes
doce extra morango;Fruits & Légumes;Fruits & Légumes
raspberry conserve;Fruits & Légumes;Fruits & Légumes
confiture de fraises aicha;Fruits & Légumes;Fruits & Légumes
cocoa orange fruit & nut bars;Fruits & Légumes;Fruits & Légumes
confiture de fraises;Fruits & Légumes;Fruits & Légumes
el baraka;Fruits & Légumes;Fruits & Légumes
confiture fraises;Fruits & Légumes;Fruits & Légumes
cocoa orange;Fruits & Légumes;Fruits & Légumes
crownfield premium fruit and nut muesli;Fruits & Légumes;Fruits & Légumes
abricot sec;Fruits & Légumes;Fruits & Légumes
nut & fruit mix classic;Fruits & Légumes;Fruits & Légumes
delicia - confiture d'abricot;Fruits & Légumes;Fruits & Légumes
confiture de fraise;Fruits & Légumes;Fruits & Légumes
nutella;Épicerie sucrée;Épicerie sucrée
confiture de fraise;Fruits & Légumes;Fruits & Légumes
nutella;Épicerie sucrée;Épicerie sucrée
nocciolata;Épicerie sucrée;Épicerie sucrée
pate a tartiner noisettes et cacao;Épicerie sucrée;Épicerie sucrée
el baraka confiture de fraises 430 g;Fruits & Légumes;Fruits & Légumes
pur beurre de cacahuete;Fruits & Légumes;Fruits & Légumes
nocciolata bio;Épicerie sucrée;Épicerie sucrée
confiture d'abricot;Fruits & Légumes;Fruits & Légumes
poulain;Épicerie sucrée;Épicerie sucrée
nutella;Épicerie sucrée;Épicerie sucrée
el baraka confiture d'abricots 430 g;Fruits & Légumes;Fruits & Légumes
nutella;Épicerie sucrée;Épicerie sucrée
be nuts ! - pate a tartiner cacahuete;Fruits & Légumes;Fruits & Légumes
nutella;Épicerie sucrée;Épicerie sucrée
nutella;Épicerie sucrée;Épicerie sucrée
nutella;Épicerie sucrée;Épicerie sucrée
peripella;Épicerie sucrée;Épicerie sucrée
nutella;Épicerie sucrée;Épicerie sucrée
biscoff creamy;Fruits & Légumes;Fruits & Légumes
baked beans;Fruits & Légumes;Fruits & Légumes
sardines huile d'olive vierge extra;Poisson & Fruits de mer;Poisson & Fruits de mer
atun;Poisson & Fruits de mer;Poisson & Fruits de mer
ratatouille cuisinee a la provencale cassegrain 380g;Fruits & Légumes;Fruits & Légumes
chickpeas in water;Fruits & Légumes;Fruits & Légumes
joly thon entier;Poisson & Fruits de mer;Poisson & Fruits de mer
baked beans;Fruits & Légumes;Fruits & Légumes
chopped tomatoes;Fruits & Légumes;Fruits & Légumes
atun c / tomate isabel;Poisson & Fruits de mer;Poisson & Fruits de mer
miettes de maquereaux;Poisson & Fruits de mer;Poisson & Fruits de mer
pringles;Fruits & Légumes;Épicerie sucrée
pitted green olives;Fruits & Légumes;Fruits & Légumes
heinz baked beans;Fruits & Légumes;Fruits & Légumes
ratatouille cuisinee a la provencale;Fruits & Légumes;Fruits & Légumes
baked beans;Fruits & Légumes;Fruits & Légumes
italian chopped tomatoes;Fruits & Légumes;Fruits & Légumes
kokosmilch;Fruits & Légumes;Fruits & Légumes
lentilles preparees;Fruits & Légumes;Fruits & Légumes
chopped tomatoes;Fruits & Légumes;Fruits & Légumes
chickpeas in water;Fruits & Légumes;Fruits & Légumes
perly;Produits laitiers;Produits laitiers
fromage blanc nature;Produits laitiers;Produits laitiers
yaourt nature;Produits laitiers;Produits laitiers
assil;Produits laitiers;Produits laitiers
cremy;Produits laitiers;Produits laitiers
jamila;Fruits & Légumes;Fruits & Légumes
skyr nature 0%;Produits laitiers;Produits laitiers
danone assil banane;Produits laitiers;Produits laitiers
raibi;Produits laitiers;Produits laitiers
tendre nature;Produits laitiers;Produits laitiers
natural yogurt;Produits laitiers;Produits laitiers
yaourt grec muesli;Produits laitiers;Produits laitiers
danino;Produits laitiers;Produits laitiers
ghilal yaourt zr3;Produits laitiers;Produits laitiers
yeo valley organic kefir natural fermented yogurt;Fruits & Légumes;Fruits & Légumes
yaourt tendre;Produits laitiers;Produits laitiers
5% greek yogurt;Produits laitiers;Produits laitiers
muscly la force pour grandir;Produits laitiers;Fruits & Légumes
sourdough white ciabattin bread;Fruits & Légumes;Fruits & Légumes
white sourdough bread;Fruits & Légumes;Fruits & Légumes
sourdough grains & seeds;Fruits & Légumes;Fruits & Légumes
tartine croustillante authentique;Fruits & Légumes;Fruits & Légumes
pain de mie grandes tranches seigle & graines 500g;Fruits & Légumes;Fruits & Légumes
sourdough bread - superb sprouted grains n7;Fruits & Légumes;Fruits & Légumes
fibres;Fruits & Légumes;Fruits & Légumes
krisprolls complets sans sucres ajoutes;Fruits & Légumes;Fruits & Légumes
14 maxi tranches complet sans sucres ajoutes;Fruits & Légumes;Fruits & Légumes
tartines craquantes au sarrasin imp;Fruits & Légumes;Fruits & Légumes
dark rye crispbread;Fruits & Légumes;Fruits & Légumes
pain de mie bio;Fruits & Légumes;Fruits & Légumes
wholegrain rye bread;Fruits & Légumes;Fruits & Légumes
seed sensations;Fruits & Légumes;Fruits & Légumes
bakery co. 5 the original bagels;Fruits & Légumes;Fruits & Légumes
rye & mixed seed sourdough bread;Fruits & Légumes;Fruits & Légumes
tartines campagne 450g;Fruits & Légumes;Fruits & Légumes
pain de mie grandes tranches special sandwich complet;Fruits & Légumes;Fruits & Légumes
seeded sourdough bread;Fruits & Légumes;Fruits & Légumes
wasa;Fruits & Légumes;Fruits & Légumes
confiture de fraise;Fruits & Légumes;Fruits & Légumes
margarine la prairie 225g;Fruits & Légumes;Fruits & Légumes
familia 200g;Fruits & Légumes;Fruits & Légumes
tartine doux;Fruits & Légumes;Fruits & Légumes
el baraka confiture de fraises 430 g;Fruits & Légumes;Fruits & Légumes
pur beurre de cacahuete;Fruits & Légumes;Fruits & Légumes
confiture d'abricot;Fruits & Légumes;Fruits & Légumes
el baraka confiture d'abricots 430 g;Fruits & Légumes;Fruits & Légumes
primevere bio doux tartine & cuisson;Fruits & Légumes;Fruits & Légumes
be nuts ! - pate a tartiner cacahuete;Fruits & Légumes;Fruits & Légumes
la prairie classique;Fruits & Légumes;Fruits & Légumes
vegetable fat spread with 10% olive oil;Fruits & Légumes;Fruits & Légumes
beurre bio cacahuete;Fruits & Légumes;Fruits & Légumes
st hubert bio & vegetal;Fruits & Légumes;Fruits & Légumes
menguy's peanut 100%;Fruits & Légumes;Fruits & Légumes
crema de cacahuete;Fruits & Légumes;Fruits & Légumes
flora buttery;Fruits & Légumes;Fruits & Légumes
strawberry jam;Fruits & Légumes;Fruits & Légumes
lightly sea salted;Fruits & Légumes;Fruits & Légumes
original;Épicerie sucrée;Épicerie sucrée
sour cream & onion;Épicerie sucrée;Épicerie sucrée
chips;Fruits & Légumes;Fruits & Légumes
pringles sare;Fruits & Légumes;Fruits & Légumes
pringles original;Épicerie sucrée;Épicerie sucrée
lightly salted low fat corn cakes;Fruits & Légumes;Fruits & Légumes
krit krititas galletas saladas;Épicerie sucrée;Épicerie sucrée
pringles original;Épicerie sucrée;Épicerie sucrée
lentil & pea veggie cakes - beetroot & balsamic;Épicerie sucrée;Fruits & Légumes
pringles;Épicerie sucrée;Épicerie sucrée
sea salt & cider vinegar chips;Fruits & Légumes;Fruits & Légumes
sour cream & onion;Épicerie sucrée;Épicerie sucrée
properchips sea salt lentil chips;Épicerie sucrée;Épicerie sucrée
pringles original;Épicerie sucrée;Épicerie sucrée
the original crunchy rye breads;Fruits & Légumes;Fruits & Légumes
super seeded oatcakes;Épicerie sucrée;Fruits & Légumes
chips de lentilles saveur fines herbes;Épicerie sucrée;Fruits & Légumes
multigrain crunchy rye breads;Fruits & Légumes;Fruits & Légumes
filets de maquereau;Poisson & Fruits de mer;Poisson & Fruits de mer
sardines huile d'olive vierge extra;Poisson & Fruits de mer;Poisson & Fruits de mer
atun;Poisson & Fruits de mer;Poisson & Fruits de mer
joly thon entier;Poisson & Fruits de mer;Poisson & Fruits de mer
atun c / tomate isabel;Poisson & Fruits de mer;Poisson & Fruits de mer
miettes de maquereaux;Poisson & Fruits de mer;Poisson & Fruits de mer
thon joly;Poisson & Fruits de mer;Poisson & Fruits de mer
plain sardines;Poisson & Fruits de mer;Poisson & Fruits de mer
tam thon entier a l'huile;Poisson & Fruits de mer;Poisson & Fruits de mer
filets de maquereaux au vin blanc;Poisson & Fruits de mer;Poisson & Fruits de mer
filet de maquereaux au naturel;Poisson & Fruits de mer;Poisson & Fruits de mer
thon entier au naturel albacore;Poisson & Fruits de mer;Poisson & Fruits de mer
filets de maquereaux a la moutarde;Poisson & Fruits de mer;Poisson & Fruits de mer
filets de maquereaux grilles natures;Poisson & Fruits de mer;Poisson & Fruits de mer
atun claro en aceite de oliva;Poisson & Fruits de mer;Poisson & Fruits de mer
cabillaud sauce citron riz aux petits legumes;Poisson & Fruits de mer;Poisson & Fruits de mer
cod fish fingers;Poisson & Fruits de mer;Poisson & Fruits de mer
le moelleux;Poisson & Fruits de mer;Poisson & Fruits de mer
thon a lhuile;Poisson & Fruits de mer;Poisson & Fruits de mer
perly;Produits laitiers;Produits laitiers
fromage blanc nature;Produits laitiers;Produits laitiers
yaourt nature;Produits laitiers;Produits laitiers
assil;Produits laitiers;Produits laitiers
cremy;Produits laitiers;Produits laitiers
jamila;Fruits & Légumes;Fruits & Légumes
skyr nature 0%;Produits laitiers;Produits laitiers
danone assil banane;Produits laitiers;Produits laitiers
raibi;Produits laitiers;Produits laitiers
tendre nature;Produits laitiers;Produits laitiers
natural yogurt;Produits laitiers;Produits laitiers
yaourt grec muesli;Produits laitiers;Produits laitiers
danino;Produits laitiers;Produits laitiers
ghilal yaourt zr3;Produits laitiers;Produits laitiers
yeo valley organic kefir natural fermented yogurt;Fruits & Légumes;Fruits & Légumes
yaourt tendre;Produits laitiers;Produits laitiers
5% greek yogurt;Produits laitiers;Produits laitiers
muscly la force pour grandir;Produits laitiers;Fruits & Légumes
mayonnaise recette originale;Épicerie salée;Épicerie salée
spreadable slightly salted;Produits laitiers;Produits laitiers
margarine la prairie 225g;Fruits & Légumes;Fruits & Légumes
familia 200g;Fruits & Légumes;Fruits & Légumes
tartine doux;Fruits & Légumes;Fruits & Légumes
mayonnaise;Épicerie salée;Épicerie salée
huile de table lio;Fruits & Légumes;Fruits & Légumes
primevere bio doux tartine & cuisson;Fruits & Légumes;Fruits & Légumes
le beurre tendre doux;Produits laitiers;Fruits & Légumes
la prairie classique;Fruits & Légumes;Fruits & Légumes
huile de table equilibree riche en vitamines a,e,d3;Fruits & Légumes;Fruits & Légumes
beurre frais pasteurise;Produits laitiers;Fruits & Légumes
vegetable fat spread with 10% olive oil;Fruits & Légumes;Fruits & Légumes
mayonnaise;Épicerie salée;Épicerie salée
st hubert bio & vegetal;Fruits & Légumes;Fruits & Légumes
flora buttery;Fruits & Légumes;Fruits & Légumes
tartine doux;Fruits & Légumes;Fruits & Légumes
proactiv margarine tartine;Fruits & Légumes;Fruits & Légumes
filets de maquereau;Poisson & Fruits de mer;Poisson & Fruits de mer
sardines huile d'olive vierge extra;Poisson & Fruits de mer;Poisson & Fruits de mer
atun;Poisson & Fruits de mer;Poisson & Fruits de mer
joly thon entier;Poisson & Fruits de mer;Poisson & Fruits de mer
atun c / tomate isabel;Poisson & Fruits de mer;Poisson & Fruits de mer
miettes de maquereaux;Poisson & Fruits de mer;Poisson & Fruits de mer
thon joly;Poisson & Fruits de mer;Poisson & Fruits de mer
plain sardines;Poisson & Fruits de mer;Poisson & Fruits de mer
tam thon entier a l'huile;Poisson & Fruits de mer;Poisson & Fruits de mer
filets de maquereaux au vin blanc;Poisson & Fruits de mer;Poisson & Fruits de mer
filet de maquereaux au naturel;Poisson & Fruits de mer;Poisson & Fruits de mer
thon entier au naturel albacore;Poisson & Fruits de mer;Poisson & Fruits de mer
filets de maquereaux a la moutarde;Poisson & Fruits de mer;Poisson & Fruits de mer
filets de maquereaux grilles natures;Poisson & Fruits de mer;Poisson & Fruits de mer
atun claro en aceite de oliva;Poisson & Fruits de mer;Poisson & Fruits de mer
cabillaud sauce citron riz aux petits legumes;Poisson & Fruits de mer;Poisson & Fruits de mer
cod fish fingers;Poisson & Fruits de mer;Poisson & Fruits de mer
le moelleux;Poisson & Fruits de mer;Poisson & Fruits de mer
thon a lhuile;Poisson & Fruits de mer;Poisson & Fruits de mer
spaghetti n.5;Fruits & Légumes;Fruits & Légumes
indomie shrimp noodles;Fruits & Légumes;Fruits & Légumes
barilla penne rigate fullkorn 500g;Fruits & Légumes;Fruits & Légumes
penne rigate n73;Fruits & Légumes;Fruits & Légumes
nouilles instantanees gout poulet;Fruits & Légumes;Fruits & Légumes
fusilli;Fruits & Légumes;Fruits & Légumes
instant nudeln - chicken flavour;Fruits & Légumes;Fruits & Légumes
pates spaghetti au ble complet integral 500g;Fruits & Légumes;Fruits & Légumes
lasagne all'uovo;Fruits & Légumes;Fruits & Légumes
indomie;Fruits & Légumes;Fruits & Légumes
tortellini ricotta & epinards;Fruits & Légumes;Fruits & Légumes
medium egg noodles imp;Fruits & Légumes;Fruits & Légumes
pates spaghetti n5 1kg;Fruits & Légumes;Fruits & Légumes
tortelloni ricotta et epinards;Fruits & Légumes;Fruits & Légumes
rana spinach and ricotta fresh tortelloni;Fruits & Légumes;Fruits & Légumes
spaghetti senza glutine;Fruits & Légumes;Fruits & Légumes
pates linguine collezione 500g;Fruits & Légumes;Fruits & Légumes
le ravioli pur boeuf;Fruits & Légumes;Fruits & Légumes
shin ramyun noodle gourmet spicy;Fruits & Légumes;Fruits & Légumes
tourtel twist;Boissons;Fruits & Légumes
corona extra;Boissons;Fruits & Légumes
desperados original aguardiente;Fruits & Légumes;Fruits & Légumes
pastis de marseille;Boissons;Fruits & Légumes
1664;Boissons;Fruits & Légumes
ovomaltine - vitamin & mineral bars, 5 ct 100g (3.5oz);Fruits & Légumes;Fruits & Légumes
wafer sandwich;Boissons;Fruits & Légumes
the original irish cream;Boissons;Épicerie sucrée
grimbergen blonde;Boissons;Fruits & Légumes
leffe blonde ;Boissons;Fruits & Légumes
baileys;Boissons;Fruits & Légumes
biere bud;Fruits & Légumes;Fruits & Légumes
live rostoy;Boissons;Boissons
biere blonde sans alcool 1664;Boissons;Fruits & Légumes
preparation de fruits clementines et oranges de corse;Boissons;Boissons
alkoholfrei;Boissons;Fruits & Légumes
yaourt grec a boire;Boissons;Produits laitiers
aperol;Boissons;Fruits & Légumes
unsweetened organic soymilk;Boissons;Fruits & Légumes
organic good seed bread;Fruits & Légumes;Fruits & Légumes
organic garbanzo beans;Épicerie sucrée;Fruits & Légumes
muesli whole grain cereal;Fruits & Légumes;Fruits & Légumes
barbecue sauce;Épicerie salée;Épicerie salée
black beans;Fruits & Légumes;Fruits & Légumes
pita chips;Entretien / Ménage;Fruits & Légumes
multi grain whole grain crispbread;Entretien / Ménage;Fruits & Légumes
shells & real aged cheddar macaroni & cheese;Épicerie salée;Produits laitiers
butter spread with olive oil & sea salt;Épicerie sucrée;Fruits & Légumes
real mayonnaise;Épicerie salée;Épicerie salée
butter with canola oil;Produits laitiers;Fruits & Légumes
real mayonnaise;Épicerie salée;Épicerie salée
pistachios;Entretien / Ménage;Fruits & Légumes
roasted garlic hummus;Épicerie salée;Fruits & Légumes
nonfat yogurt;Produits laitiers;Produits laitiers
whole grain crispbread;Entretien / Ménage;Fruits & Légumes
low moisture part skim mozzarella cheese;Entretien / Ménage;Fruits & Légumes
black beans;Fruits & Légumes;Fruits & Légumes
organic black beans;Fruits & Légumes;Fruits & Légumes
pain de mie grandes tranches seigle & graines 500g;Fruits & Légumes;Fruits & Légumes
pipas;Fruits & Légumes;Fruits & Légumes
chickpeas in water;Fruits & Légumes;Fruits & Légumes
muesli crunchy;Fruits & Légumes;Fruits & Légumes
puy lentils & french green lentils;Fruits & Légumes;Fruits & Légumes
protein packed lentil cakes;Fruits & Légumes;Fruits & Légumes
irish organic jumbo oats;Fruits & Légumes;Fruits & Légumes
cerelac;Fruits & Légumes;Fruits & Légumes
nuez natural pelada;Fruits & Légumes;Fruits & Légumes
tomatoey french puy & green lentils;Fruits & Légumes;Fruits & Légumes
heinz baked beans;Fruits & Légumes;Fruits & Légumes
smoky spanish-style grains & rice;Fruits & Légumes;Fruits & Légumes
peanut butter oat bars;Fruits & Légumes;Fruits & Légumes
tilda steamed brown basmati rice;Fruits & Légumes;Fruits & Légumes
lentilles preparees;Fruits & Légumes;Fruits & Légumes
chickpeas in water;Fruits & Légumes;Fruits & Légumes
lentilles cuisinees a l'auvergnate;Fruits & Légumes;Fruits & Légumes
fakiat barbeque;Fruits & Légumes;Fruits & Légumes
ble tendre cuisson 10 min ebly 500 g;Fruits & Légumes;Fruits & Légumes
les tranches vege haricots blancs;Fruits & Légumes;Fruits & Légumes
baked beans;Fruits & Légumes;Fruits & Légumes
pur beurre de cacahuete;Fruits & Légumes;Fruits & Légumes
be nuts ! - pate a tartiner cacahuete;Fruits & Légumes;Fruits & Légumes
tofoo naked;Fruits & Légumes;Fruits & Légumes
beurre bio cacahuete;Fruits & Légumes;Fruits & Légumes
menguy's peanut 100%;Fruits & Légumes;Fruits & Légumes
crema de cacahuete;Fruits & Légumes;Fruits & Légumes
crunchy peanut butter;Fruits & Légumes;Fruits & Légumes
menguy's beurre de cacahuetes creamy;Fruits & Légumes;Fruits & Légumes
crunchy peanut butter;Fruits & Légumes;Fruits & Légumes
chickpeas in water;Fruits & Légumes;Fruits & Légumes
puy lentils & french green lentils;Fruits & Légumes;Fruits & Légumes
100% cacahuetes;Fruits & Légumes;Fruits & Légumes
baked beans;Fruits & Légumes;Fruits & Légumes
beurre de cacahuetes;Fruits & Légumes;Fruits & Légumes
crunchy peanut butter;Fruits & Légumes;Fruits & Légumes
soyamilch;Boissons;Fruits & Légumes
peanut butter creamy;Fruits & Légumes;Fruits & Légumes
smooth peanut butter;Fruits & Légumes;Fruits & Légumes
tonik;Fruits & Légumes;Fruits & Légumes
cosumar sucre en lingot pour le the 1 kg;Épicerie sucrée;Fruits & Légumes
sunny via agave syrup squeeze bottle imp;Fruits & Légumes;Fruits & Légumes
sirop d'erable ambre gout riche;Épicerie sucrée;Épicerie sucrée
runny honey imp;Épicerie sucrée;Épicerie sucrée
poudre stevia;Fruits & Légumes;Fruits & Légumes
squeezy honey;Épicerie sucrée;Épicerie sucrée
miel cremeux francais & responsable;Épicerie sucrée;Épicerie sucrée
tartimiel lune de miel doseur 250 g;Fruits & Légumes;Fruits & Légumes
sirop d'agave;Épicerie sucrée;Épicerie sucrée
miel de fleurs;Épicerie sucrée;Épicerie sucrée
organic classic canadian maple syrup;Épicerie sucrée;Épicerie sucrée
miel de fleurs liquide doseur 500g;Épicerie sucrée;Épicerie sucrée
enmer;Épicerie sucrée;Épicerie sucrée
agave nectar;Fruits & Légumes;Fruits & Légumes
canadian maple syrup;Épicerie sucrée;Épicerie sucrée
sucre arome vanille;Épicerie sucrée;Épicerie sucrée
sciroppo d'acero canadese;Épicerie sucrée;Fruits & Légumes
cassonade pure canne;Épicerie sucrée;Fruits & Légumes
vanilla ice cream;Épicerie sucrée;Épicerie sucrée
noisetta;Épicerie sucrée;Épicerie sucrée
ice pulpe orange 1.5cl;Boissons;Fruits & Légumes
traditional dairy ice cream;Épicerie sucrée;Épicerie sucrée
nutella-eis;Épicerie sucrée;Épicerie sucrée
carte d'or les essentiels glace creme glacee vanille 700ml;Épicerie sucrée;Épicerie sucrée
swedish glace dairy-free smooth vanilla;Fruits & Légumes;Fruits & Légumes
chocolate fudge brownie;Épicerie sucrée;Épicerie sucrée
clotted cream ice cream;Épicerie sucrée;Épicerie sucrée
magadascan vanilla;Épicerie sucrée;Épicerie sucrée
tropical passionfruit & mango mochi ice cream;Épicerie sucrée;Épicerie sucrée
taste the difference vanilla ice cream;Épicerie sucrée;Épicerie sucrée
bon gelati premium almond ice cream;Épicerie sucrée;Épicerie sucrée
organic vanilla ice cream;Épicerie sucrée;Épicerie sucrée
strawberries & cream ice cream;Épicerie sucrée;Épicerie sucrée
glaces amande;Épicerie sucrée;Fruits & Légumes
oasis sorbet tropical;Épicerie sucrée;Épicerie sucrée
deluxe madagascar vanilla ice cream;Épicerie sucrée;Épicerie sucrée
salted caramel ice cream;Épicerie sucrée;Épicerie sucrée
margarine la prairie 225g;Fruits & Légumes;Fruits & Légumes
familia 200g;Fruits & Légumes;Fruits & Légumes
tartine doux;Fruits & Légumes;Fruits & Légumes
huile de table lio;Fruits & Légumes;Fruits & Légumes
primevere bio doux tartine & cuisson;Fruits & Légumes;Fruits & Légumes
la prairie classique;Fruits & Légumes;Fruits & Légumes
huile de table equilibree riche en vitamines a,e,d3;Fruits & Légumes;Fruits & Légumes
vegetable fat spread with 10% olive oil;Fruits & Légumes;Fruits & Légumes
st hubert bio & vegetal;Fruits & Légumes;Fruits & Légumes
flora buttery;Fruits & Légumes;Fruits & Légumes
tartine doux;Fruits & Légumes;Fruits & Légumes
proactiv margarine tartine;Fruits & Légumes;Fruits & Légumes
omega 3 doux;Fruits & Légumes;Fruits & Légumes
hule d'olive;Fruits & Légumes;Fruits & Légumes
huile d'olive vierge extra;Fruits & Légumes;Fruits & Légumes
houilor;Fruits & Légumes;Fruits & Légumes
omega 3 doux tartine & cuisson;Fruits & Légumes;Fruits & Légumes
vegan spread;Fruits & Légumes;Fruits & Légumes
gerostete mandel ohne zucker;Boissons;Boissons
almonds;Fruits & Légumes;Fruits & Légumes
cashewkerne naturbelassen;Fruits & Légumes;Fruits & Légumes
pur beurre de cacahuete;Fruits & Légumes;Fruits & Légumes
gerostete mandel;Boissons;Boissons
bio-almond-mandelmilch;Boissons;Boissons
menguy's peanut 100%;Fruits & Légumes;Fruits & Légumes
crema de cacahuete;Fruits & Légumes;Fruits & Légumes
protein cacahuetes & chocolat;Fruits & Légumes;Fruits & Légumes
crunchy peanut butter;Fruits & Légumes;Fruits & Légumes
paranusskerne;Fruits & Légumes;Fruits & Légumes
menguy's beurre de cacahuetes creamy;Fruits & Légumes;Fruits & Légumes
bjorg amande almond sans sugres- no sugar;Fruits & Légumes;Fruits & Légumes
crunchy peanut butter;Fruits & Légumes;Fruits & Légumes
dorset cereals simply nutty;Fruits & Légumes;Fruits & Légumes
barres de fruits secs & noix myrtilles;Fruits & Légumes;Fruits & Légumes
protein cocoa hazelnut bars;Fruits & Légumes;Fruits & Légumes
excellence noir prodigieux 90% cacao;Épicerie sucrée;Épicerie sucrée
excellence 70% cocoa intense dark;Épicerie sucrée;Épicerie sucrée
excellence 85% cacao rich dark;Épicerie sucrée;Épicerie sucrée
dark chocolate 85% cocoa;Épicerie sucrée;Épicerie sucrée
organic 70% dark chocolate bar;Épicerie sucrée;Épicerie sucrée
